Kod ,Pověřená obec,Kod úřadu ČSÚ,Typ úřadu,Kod okresu
10200,ZÚ Bratislava                                , ,Z,0
10016,ZÚ Brisbane                                  , ,Z,0
10027,ZÚ Brusel                                    , ,Z,0
10134,ZÚ Budapešť                                  , ,Z,0
10010,ZÚ Buenos Aires                              , ,Z,0
10235,ZÚ Buffalo                                   , ,Z,0
10186,ZÚ Bukurešť                                  , ,Z,0
10112,ZÚ Calgary                                   , ,Z,0
10020,ZÚ Canberra                                  , ,Z,0
10250,ZÚ Caracas                                   , ,Z,0
10119,ZÚ Cartagena de Indias                       , ,Z,0
10138,ZÚ Casablanca                                , ,Z,0
10203,ZÚ Colombo                                   , ,Z,0
10074,ZÚ Conakry                                   , ,Z,0
10216,ZÚ Curych                                    , ,Z,0
10071,ZÚ Dakar                                     , ,Z,0
10236,ZÚ Dallas                                    , ,Z,0
10206,ZÚ Damašek                                   , ,Z,0
10017,ZÚ Darwin                                    , ,Z,0
10059,ZÚ Davao                                     , ,Z,0
10025,ZÚ Dháka                                     , ,Z,0
10083,ZÚ Dillí                                     , ,Z,0
10110,ZÚ Douala                                    , ,Z,0
10147,ZÚ Drážďany                                  , ,Z,0
10090,ZÚ Dublin                                    , ,Z,0
10052,ZÚ Džibuti                                   , ,Z,0
10196,ZÚ Džidda                                    , ,Z,0
10246,ZÚ Edinburgh                                 , ,Z,0
10093,ZÚ Florencie                                 , ,Z,0
10237,ZÚ Fort Lauderdale                           , ,Z,0
10149,ZÚ Frankfurt nad Mohanem                     , ,Z,0
10211,ZÚ Göteborg                                  , ,Z,0
10180,ZÚ Graz                                      , ,Z,0
10141,ZÚ Guadalajara                               , ,Z,0
10056,ZÚ Guayaquil                                 , ,Z,0
10162,ZÚ Haag                                      , ,Z,0
10100,ZÚ Haifa                                     , ,Z,0
10260,ZÚ Hamburk                                   , ,Z,0
10252,ZÚ Hanoj                                     , ,Z,0
10005,ZÚ Harare                                    , ,Z,0
10123,ZÚ Havana                                    , ,Z,0
10063,ZÚ Helsinky                                  , ,Z,0
10190,ZÚ Heraklion                                 , ,Z,0
10018,ZÚ Hobart                                    , ,Z,0
10251,ZÚ Hočiminovo město                          , ,Z,0
10044,ZÚ Hongkong                                  , ,Z,0
10047,ZÚ Horsens                                   , ,Z,0
10238,ZÚ Houston                                   , ,Z,0
10204,ZÚ Chartúm                                   , ,Z,0
10081,ZÚ Chennai                                   , ,Z,0
10239,ZÚ Chicago                                   , ,Z,0
10261,ZÚ Innsbruck                                 , ,Z,0
10168,ZÚ Islámábád                                 , ,Z,0
10222,ZÚ Istanbul                                  , ,Z,0
10224,ZÚ Izmir                                     , ,Z,0
10087,ZÚ Jakarta                                   , ,Z,0
10187,ZÚ Jekatěrinburg                             , ,Z,0
10101,ZÚ Jeruzalém                                 , ,Z,0
10135,ZÚ Johor Bahru                               , ,Z,0
10038,ZÚ Joinville                                 , ,Z,0
10082,ZÚ Kalkata                                   , ,Z,0
10262,ZÚ Kansas City                               , ,Z,0
10105,ZÚ Kapské Město                              , ,Z,0
10172,ZÚ Katovice                                  , ,Z,0
10054,ZÚ Káhira                                    , ,Z,0
10155,ZÚ Káthmándú                                 , ,Z,0
10070,ZÚ Kinshasa                                  , ,Z,0
10121,ZÚ Kinshasa                                  , ,Z,0
10181,ZÚ Klagenfurt                                , ,Z,0
10048,ZÚ Kodaň                                     , ,Z,0
10199,ZÚ Košice                                    , ,Z,0
10103,ZÚ Kóbe                                      , ,Z,0
10136,ZÚ Kuala Lumpur                              , ,Z,0
10124,ZÚ Kuvajt                                    , ,Z,0
10226,ZÚ Kyjev                                     , ,Z,0
10034,ZÚ La Paz                                    , ,Z,0
10032,ZÚ Lagos                                     , ,Z,0
10064,ZÚ Lille                                     , ,Z,0
10171,ZÚ Lima                                      , ,Z,0
10125,ZÚ Limassol                                  , ,Z,0
10182,ZÚ Linec                                     , ,Z,0
10179,ZÚ Lisabon                                   , ,Z,0
10202,ZÚ Ljubljana                                 , ,Z,0
10217,ZÚ Locarno                                   , ,Z,0
10248,ZÚ Londýn                                    , ,Z,0
10229,ZÚ Los Angeles                               , ,Z,0
10006,ZÚ Luanda                                    , ,Z,0
10133,ZÚ Lucemburk                                 , ,Z,0
10264,ZÚ Lvov                                      , ,Z,0
10065,ZÚ Lyon                                      , ,Z,0
10210,ZÚ Madrid                                    , ,Z,0
10084,ZÚ Makassar                                  , ,Z,0
10212,ZÚ Malmö                                     , ,Z,0
10159,ZÚ Managua                                   , ,Z,0
10039,ZÚ Manaus                                    , ,Z,0
10247,ZÚ Manchester                                , ,Z,0
10060,ZÚ Manila                                    , ,Z,0
10249,ZÚ Maracaibo                                 , ,Z,0
10068,ZÚ Marseille                                 , ,Z,0
10014,ZÚ Melbourne                                 , ,Z,0
10008,ZÚ Mendoza                                   , ,Z,0
10143,ZÚ Mexiko                                    , ,Z,0
10092,ZÚ Miláno                                    , ,Z,0
10240,ZÚ Minneapolis                               , ,Z,0
10031,ZÚ Minsk                                     , ,Z,0
10148,ZÚ Mnichov                                   , ,Z,0
10129,ZÚ Monrovia                                  , ,Z,0
10144,ZÚ Monte Carlo                               , ,Z,0
10142,ZÚ Monterrey                                 , ,Z,0
10228,ZÚ Montevideo                                , ,Z,0
10111,ZÚ Montreal                                  , ,Z,0
10189,ZÚ Moskva                                    , ,Z,0
10080,ZÚ Mumbai                                    , ,Z,0
10255,ZÚ Mutogras                                  , ,Z,0
10117,ZÚ Nairobi                                   , ,Z,0
10066,ZÚ Nancy                                     , ,Z,0
10067,ZÚ Nantes                                    , ,Z,0
10137,ZÚ Naxxar                                    , ,Z,0
10094,ZÚ Neapol                                    , ,Z,0
10241,ZÚ New Orleans                               , ,Z,0
10230,ZÚ New York                                  , ,Z,0
10156,ZÚ Niamey                                    , ,Z,0
10127,ZÚ Nicosia                                   , ,Z,0
10126,ZÚ Nikósie                                   , ,Z,0
10150,ZÚ Norimberk                                 , ,Z,0
10030,ZÚ Orange Walk Town                          , ,Z,0
10164,ZÚ Oslo                                      , ,Z,0
10115,ZÚ Ottawa                                    , ,Z,0
10061,ZÚ Oulu                                      , ,Z,0
10208,ZÚ Oviedo                                    , ,Z,0
10095,ZÚ Palermo                                   , ,Z,0
10170,ZÚ Panama                                    , ,Z,0
10069,ZÚ Paříž                                     , ,Z,0
10046,ZÚ Peking                                    , ,Z,0
10019,ZÚ Perth                                     , ,Z,0
10231,ZÚ Philadelphia                              , ,Z,0
10191,ZÚ Pireus                                    , ,Z,0
10140,ZÚ Port Louis                                , ,Z,0
10263,ZÚ Port of Spain                             , ,Z,0
10242,ZÚ Portland                                  , ,Z,0
10178,ZÚ Porto                                     , ,Z,0
10201,ZÚ Portorož                                  , ,Z,0
10174,ZÚ Poznaň                                    , ,Z,0
10009,ZÚ Presidencia Roque Sáenz Peňa              , ,Z,0
10106,ZÚ Pretoria                                  , ,Z,0
10227,ZÚ Punta del Este                            , ,Z,0
10139,ZÚ Rabat                                     , ,Z,0
10169,ZÚ Ramalláh                                  , ,Z,0
10091,ZÚ Reykjavík                                 , ,Z,0
10192,ZÚ Rhodos                                    , ,Z,0
10132,ZÚ Riga                                      , ,Z,0
10023,ZÚ Rijád                                     , ,Z,0
10256,ZÚ Rijeka                                    , ,Z,0
10007,ZÚ Rio de Janeiro                            , ,Z,0
10151,ZÚ Rostock                                   , ,Z,0
10161,ZÚ Rotterdam                                 , ,Z,0
10098,ZÚ Řím                                       , ,Z,0
10183,ZÚ Salcburk                                  , ,Z,0
10040,ZÚ Salvador                                  , ,Z,0
10232,ZÚ San Francisco                             , ,Z,0
10075,ZÚ San José                                  , ,Z,0
10177,ZÚ San Juan                                  , ,Z,0
10195,ZÚ San Salvador                              , ,Z,0
10104,ZÚ Sanaá                                     , ,Z,0
10188,ZÚ Sankt Peterburg                           , ,Z,0
10077,ZÚ Santiago de Chile                         , ,Z,0
10050,ZÚ Santo Domingo                             , ,Z,0
10085,ZÚ Sanur                                     , ,Z,0
10026,ZÚ Sao Paulo                                 , ,Z,0
10035,ZÚ Sarajevo                                  , ,Z,0
10198,ZÚ Singapur                                  , ,Z,0
10307,ZÚ Skopje                                    ,0,Z,0
10042,ZÚ Sofie                                     , ,Z,0
10193,ZÚ Soluň                                     , ,Z,0
10122,ZÚ Soul                                      , ,Z,0
10078,ZÚ Split                                     , ,Z,0
10213,ZÚ Stockholm                                 , ,Z,0
10152,ZÚ Stuttgart                                 , ,Z,0
10086,ZÚ Surabaya                                  , ,Z,0
10013,ZÚ Sydney                                    , ,Z,0
10045,ZÚ Šanghaj                                   , ,Z,0
10175,ZÚ Štětín                                    , ,Z,0
10220,ZÚ Taipei                                    , ,Z,0
10057,ZÚ Tallin                                    , ,Z,0
10062,ZÚ Tampere                                   , ,Z,0
10244,ZÚ Taškent                                   , ,Z,0
10012,ZÚ Tbilisi                                   , ,Z,0
10076,ZÚ Tegucigalpa                               , ,Z,0
10089,ZÚ Teherán                                   , ,Z,0
10099,ZÚ Tel Aviv                                  , ,Z,0
10209,ZÚ Tenerife                                  , ,Z,0
10259,ZÚ Tijuana                                   , ,Z,0
10002,ZÚ Tirana                                    , ,Z,0
10102,ZÚ Tokio                                     , ,Z,0
10113,ZÚ Toronto                                   , ,Z,0
10130,ZÚ Tripolis                                  , ,Z,0
10221,ZÚ Tunis                                     , ,Z,0
10096,ZÚ Udine                                     , ,Z,0
10145,ZÚ Ulánbátar                                 , ,Z,0
10114,ZÚ Vancouver                                 , ,Z,0
10245,ZÚ Vatikán                                   , ,Z,0
10197,ZÚ Victoria                                  , ,Z,0
10131,ZÚ Vilnius                                   , ,Z,0
10184,ZÚ Vídeň                                     , ,Z,0
10173,ZÚ Vratislav                                 , ,Z,0
10243,ZÚ Washington                                , ,Z,0
10165,ZÚ Wellington                                , ,Z,0
10146,ZÚ Windhoek                                  , ,Z,0
10079,ZÚ Záhřeb                                    , ,Z,0
10214,ZÚ Ženeva                                    , ,Z,0
3679,Žamberk,5315,N,3611
3556,Žatec,4216,N,3507
3714,Žďár nad Sázavou,6115,N,3714
3541,Železný Brod                                 ,5110,N,3504
3901,Židlochovice                                 ,6221,N,3703
